time_ms,weight_kg,sync
139528.0,0.3921,0
139541.0,0.5034,0
139554.0,0.427,0
139568.0,0.4434,0
139581.0,0.467,0
139594.0,0.4845,0
139608.0,0.5326,0
139621.0,0.5806,0
139634.0,0.4119,0
139648.0,0.5023,0
139661.0,0.5275,0
139674.0,0.5172,0
139688.0,0.4729,0
139701.0,0.546,0
139714.0,0.4739,0
139728.0,0.4821,0
139741.0,0.4793,0
139754.0,0.4574,0
139768.0,0.4611,0
139781.0,0.4976,0
139794.0,0.3555,0
139808.0,0.4325,0
139821.0,0.4179,0
139834.0,0.3965,0
139848.0,0.367,0
139861.0,0.4287,0
139888.0,0.3033,0
139901.0,0.3973,0
139914.0,0.5443,0
139928.0,0.5113,0
139941.0,0.4786,0
139954.0,0.4521,0
139968.0,0.3943,0
139981.0,0.4305,0
139994.0,0.3645,0
140008.0,0.355,0
140021.0,0.4322,0
140034.0,0.4001,0
140048.0,0.3262,0
140061.0,0.414,0
140074.0,0.3794,0
140088.0,0.3237,0
140101.0,0.4052,0
140114.0,0.4689,0
140128.0,0.3313,0
140141.0,0.3804,0
140154.0,0.4357,0
140168.0,0.4482,0
140181.0,0.4255,0
140194.0,0.4468,0
140208.0,0.4118,0
140221.0,0.5166,0
140234.0,0.4696,0
140248.0,0.4689,0
140261.0,0.5757,0
140274.0,0.5647,0
140288.0,0.4648,0
140301.0,0.5373,0
140314.0,0.5108,0
140328.0,0.5348,0
140341.0,0.4871,0
140354.0,0.5072,0
140368.0,0.4685,0
140381.0,0.4638,0
140394.0,0.346,0
140408.0,0.3502,0
140421.0,0.4052,0
140434.0,0.4153,0
140448.0,0.2383,0
140461.0,0.4074,0
140474.0,0.4128,0
140488.0,0.3539,0
140501.0,0.3616,0
140514.0,0.5247,0
140528.0,0.3637,0
140541.0,0.3845,0
140554.0,0.3984,0
140568.0,0.4847,0
140581.0,0.3165,0
140594.0,0.3789,0
140608.0,0.3565,0
140621.0,0.5013,0
140634.0,0.3726,0
140648.0,0.3664,0
140661.0,0.4026,0
140674.0,0.4311,0
140688.0,0.3152,0
140701.0,0.398,0
140714.0,0.3545,0
140728.0,0.3972,0
140741.0,0.3091,0
140754.0,0.4397,0
140768.0,0.3479,0
140781.0,0.4238,0
140794.0,0.3383,0
140808.0,0.3851,0
140821.0,0.3491,0
140834.0,0.402,0
140848.0,0.3332,0
140861.0,0.4336,0
140874.0,0.3789,0
140888.0,0.4094,0
140901.0,0.4079,0
140914.0,0.5359,0
140928.0,0.4458,0
140941.0,0.4879,0
140954.0,0.4352,0
140968.0,0.5104,0
140981.0,0.4441,0
140994.0,0.5217,0
141008.0,0.4255,0
141021.0,0.4899,0
141034.0,0.418,0
141048.0,0.4759,0
141061.0,0.4417,0
141074.0,0.5058,0
141088.0,0.4101,0
141101.0,0.5143,0
141114.0,0.4136,0
141128.0,0.4826,0
141141.0,0.3894,0
141154.0,0.4159,0
141168.0,0.4176,0
141181.0,0.4851,0
141194.0,0.3549,0
141208.0,0.4416,0
141221.0,0.3762,0
141234.0,0.4526,0
141248.0,0.418,0
141261.0,0.5372,0
141274.0,0.4889,0
141288.0,0.5216,0
141301.0,0.5658,0
141314.0,0.6437,0
141328.0,0.5464,0
141341.0,0.5918,0
141354.0,0.482,0
141368.0,0.5289,0
141381.0,0.4582,0
141394.0,0.5179,0
141408.0,0.403,0
141421.0,0.4702,0
141434.0,0.406,0
141448.0,0.365,0
141461.0,0.4021,0
141474.0,0.475,0
141488.0,0.3834,0
141501.0,0.442,0
141514.0,0.3983,0
141528.0,0.4721,0
141541.0,0.4813,0
141554.0,0.5201,0
141568.0,0.4566,0
141581.0,0.5357,0
141594.0,0.4505,0
141608.0,0.4821,0
141621.0,0.5165,0
141634.0,0.5312,0
141648.0,0.4593,0
141661.0,0.6348,0
141674.0,0.5506,0
141688.0,0.4789,0
141701.0,0.5577,0
141714.0,0.5455,0
141728.0,0.4277,0
141741.0,0.5217,0
141754.0,0.4311,0
141768.0,0.4296,0
141781.0,0.3976,0
141794.0,0.396,0
141808.0,0.354,0
141821.0,0.5071,0
141834.0,0.3892,0
141848.0,0.396,0
141861.0,0.4626,0
141874.0,0.541,0
141888.0,0.4426,0
141901.0,0.4447,0
141914.0,0.3889,0
141928.0,0.4311,0
141941.0,0.3746,0
141954.0,0.4162,0
141968.0,0.4121,0
141981.0,0.4974,0
141994.0,0.3555,0
142008.0,0.3508,0
142021.0,0.4313,0
142034.0,0.4094,0
142048.0,0.3187,0
142061.0,0.4353,0
142074.0,0.3482,0
142088.0,0.317,0
142101.0,0.3275,0
142114.0,0.3742,0
142128.0,0.2851,0
142141.0,0.3472,0
142154.0,0.3252,0
142168.0,0.3237,0
142181.0,0.3443,0
142194.0,0.3113,0
142208.0,0.298,0
142221.0,0.3671,0
142234.0,0.2689,0
142248.0,0.3187,0
142261.0,0.3769,0
142274.0,0.3342,0
142288.0,0.3072,0
142301.0,0.4955,0
142314.0,0.467,0
142328.0,0.38,0
142341.0,0.5052,0
142354.0,0.5231,0
142368.0,0.5072,0
142381.0,0.4895,0
142394.0,0.5206,0
142408.0,0.4759,0
142421.0,0.4315,0
142434.0,0.3596,0
142448.0,0.3712,0
142461.0,0.4959,0
142474.0,0.3316,0
142488.0,0.301,0
142501.0,0.4268,0
142514.0,0.3089,0
142528.0,0.2552,0
142541.0,0.414,0
142554.0,0.2953,0
142568.0,0.2818,0
142581.0,0.3508,0
142594.0,0.3437,0
142608.0,0.377,0
142621.0,0.4292,0
142634.0,0.4743,0
142648.0,0.4156,0
142661.0,0.4417,0
142674.0,0.4135,0
142688.0,0.4424,0
