time_ms,weight_kg,accel_x,accel_y,accel_z,tilt_x,tilt_y,sync
1979648.0,-2.037,0.6225,1.3503,10.0556,7.634,-3.542,0
1979698.0,-2.0957,0.5986,1.3312,9.8928,7.65,-3.462,0
1979748.0,-2.0048,0.6369,0.6225,9.7588,3.642,-3.734,0
1979798.0,-2.0851,0.5794,0.7757,9.7492,4.541,-3.401,0
1979848.0,-2.0441,0.4884,0.8619,9.7971,5.022,-2.854,0
1979898.0,-2.0308,0.565,1.1492,9.7348,6.722,-3.322,0
1979948.0,-1.9948,0.6416,1.1492,9.9024,6.606,-3.707,0
1979998.0,-2.0614,0.6129,1.4461,9.8593,8.328,-3.557,0
1980048.0,-2.045,0.6321,0.5076,9.8641,2.94,-3.666,0
1980098.0,-2.2125,0.3879,0.6177,9.7348,3.628,-2.282,0
1980148.0,-2.1911,0.4693,0.8859,9.754,5.183,-2.754,0
1980198.0,-2.1928,0.5411,1.0726,9.8354,6.215,-3.149,0
1980248.0,-2.1057,0.6369,0.7853,10.0556,4.457,-3.624,0
1980298.0,-2.1687,0.5602,1.4653,9.9647,8.352,-3.218,0
1980348.0,-2.1155,0.68,0.5507,9.8641,3.188,-3.943,0
1980398.0,-2.0721,0.3831,0.5171,9.7157,3.045,-2.258,0
1980448.0,-2.0681,0.5315,0.7566,9.8833,4.371,-3.078,0
1980498.0,-2.0803,0.5315,0.838,9.9455,4.809,-3.059,0
1980548.0,-2.0818,0.5602,0.8715,9.8402,5.053,-3.259,0
1980598.0,-2.1289,0.5842,1.1205,9.7109,6.57,-3.443,0
1980648.0,-2.0204,0.68,1.2354,9.6965,7.243,-4.011,0
1980698.0,-2.0916,0.3783,0.5842,9.7923,3.412,-2.212,0
1980748.0,-2.0518,0.4884,0.4645,9.8162,2.706,-2.848,0
1980798.0,-2.0603,0.4262,0.8332,9.8019,4.854,-2.49,0
1980848.0,-2.0898,0.5459,0.8667,9.9311,4.98,-3.146,0
1980898.0,-2.1108,0.5602,1.0295,9.8833,5.937,-3.244,0
1980948.0,-2.1701,0.6033,1.1253,9.6726,6.623,-3.569,0
1980998.0,-2.1522,0.3831,0.2969,9.7923,1.735,-2.24,0
1981048.0,-2.0515,0.5267,0.4884,9.845,2.836,-3.063,0
1981098.0,-2.0579,0.407,0.5986,9.8067,3.49,-2.377,0
1981148.0,-1.979,0.5076,0.7853,9.8593,4.548,-2.947,0
1981198.0,-2.0462,0.4597,1.0726,9.7875,6.247,-2.689,0
1981248.0,-2.075,0.589,0.34,9.6774,2.008,-3.483,0
1981298.0,-2.1487,0.6656,0.431,9.7396,2.528,-3.909,0
1981348.0,-2.0852,0.4214,0.4836,9.912,2.791,-2.434,0
1981398.0,-2.1614,0.431,0.6321,9.6774,3.733,-2.55,0
1981448.0,-2.0935,0.5507,0.6608,9.7971,3.853,-3.217,0
1981498.0,-2.14,0.5171,0.838,9.7971,4.882,-3.022,0
1981548.0,-2.0945,0.5986,1.0487,9.7157,6.149,-3.525,0
1981598.0,-2.0895,0.3783,0.4453,9.7109,2.624,-2.231,0
1981648.0,-2.1139,0.3208,0.498,9.7205,2.931,-1.89,0
