-0.01,-0.004,0.028,-7.63,19.07,0
0.009,0.008,-0.008,33.21,-129.42,0
0.026,-0.026,0.026,-34.81,-45.44,0
0.009,-0.018,-0.017,-42.96,-151.46,0
0.002,-0.011,0.021,-27.89,-6.08,0
-0.012,-0.004,-0.001,-18.19,92.64,0
-0,-0.004,0.002,-65.22,4.97,0
-0.01,-0.016,0.011,-46.78,40.47,0
0.017,-0.038,-0.02,-55.51,-139.9,0
0.026,-0.014,-0.022,-21.6,-130.18,0
0.014,0.003,-0.027,5.99,-152.16,0
0.019,-0.014,0.047,-14.9,-21.87,0
0.017,0.013,0.007,35.54,-68.25,0
-0.015,0.001,-0.01,2.58,124.91,0
0.002,-0.009,0.011,-37.05,-11.08,0
-0.005,0.01,-0.017,29.94,164.06,0
0.033,0.006,0.009,9.18,-74.87,0
0.017,-0.004,0.004,-13.11,-75.71,0
-0.007,0.015,0.045,18.42,9.28,0
0.029,-0.002,0.004,-3.16,-81.58,0
-0.007,0.003,-0.001,23.44,94.36,0
0.024,0.008,-0.001,18.55,-91.35,0
0.009,0.008,0.05,8.96,-10.73,0
-0.005,0.032,0.026,50.57,10.87,0
-0.003,0.015,0.016,42.76,8.96,0
0.024,-0.028,0.009,-47.68,-69.24,0
0.002,-0.009,-0.046,-10.78,-177.22,0
0.026,-0.006,0.023,-10.31,-48.23,0
-0.015,-0.011,0.014,-29.14,46.45,0
0.021,0.039,0.023,50.98,-42.45,0
-0.005,0.025,0.007,71.52,36.76,0
0.017,-0.016,0.014,-36.47,-50.25,0
0.002,-0.023,-0.046,-26.66,-177.22,0
-0,0.018,-0.003,80.44,176.91,0
0.005,0.022,0.033,33.88,-7.99,0
0.019,-0.014,0.002,-35.41,-84.48,0
0.007,0.02,-0.005,66.13,-127.29,0
0.017,-0.009,0.002,-27.73,-83.69,0
0.012,0.025,-0.013,55.16,-136.69,0
-0.007,-0.018,0.019,-42.56,21.55,0
0.014,-0.028,-0.005,-61.48,-110.63,0
0.005,0.022,0.021,46.11,-12.44,0
-0.003,0.025,-0.022,48.03,173.41,0
0.031,-0.028,-0.015,-39.1,-115.73,0
-0.01,-0.023,0.011,-57.05,40.47,0
