time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
5.299492,video,,,,,,,,0.632204,106.245691,0
5.316157,video,,,,,,,,0.554714,105.951115,0
5.332822,video,,,,,,,,1.021627,106.842355,0
5.349487,video,,,,,,,,0.554714,105.951115,0
5.366152,video,,,,,,,,-0.079467,105.653178,0
5.382817,video,,,,,,,,0.474161,106.242862,0
5.399482,video,,,,,,,,0.788063,106.542375,0
5.416147,video,,,,,,,,1.030104,105.963275,0
5.432812,video,,,,,,,,0.550904,106.683765,0
5.449477,video,,,,,,,,0.553183,106.244175,0
5.466142,video,,,,,,,,0.632204,106.245691,0
5.482807,video,,,,,,,,0.555482,105.804585,0
5.499472,video,,,,,,,,0.077218,108.730449,0
5.516137,video,,,,,,,,0.471560,106.828989,0
5.532802,video,,,,,,,,0.550904,106.683765,0
5.549468,video,,,,,,,,0.396779,105.802150,0
5.566133,video,,,,,,,,0.550148,106.830296,0
5.582798,video,,,,,,,,0.474816,106.096330,0
5.599463,video,,,,,,,,-0.478118,105.363671,0
5.616128,video,,,,,,,,-0.550148,106.830296,0
5.632793,video,,,,,,,,0.395137,106.241750,0
5.649458,video,,,,,,,,-0.315242,106.533910,0
5.666123,video,,,,,,,,-0.797940,105.223669,0
5.682788,video,,,,,,,,-0.397329,105.655616,0
5.699453,video,,,,,,,,0.396230,105.948683,0
5.716118,video,,,,,,,,-0.396230,105.948683,0
5.732783,video,,,,,,,,-0.394050,106.534817,0
5.766113,video,,,,,,,,-0.316111,106.240840,0
5.782778,video,,,,,,,,-0.472857,106.535925,0
5.799444,video,,,,,,,,-0.556252,105.658055,0
5.816109,video,,,,,,,,0.314377,106.826979,0
5.832774,video,,,,,,,,0.078703,106.678935,0
5.849439,video,,,,,,,,-0.635711,105.659580,0
5.866104,video,,,,,,,,-0.476131,105.803266,0
5.882769,video,,,,,,,,-0.783751,107.128467,0
5.899434,video,,,,,,,,-0.872860,105.811891,0
5.916099,video,,,,,,,,-0.554714,105.951115,0
5.932764,video,,,,,,,,-0.396230,105.948683,0
5.949429,video,,,,,,,,-0.557799,105.364995,0
5.966094,video,,,,,,,,-0.635711,105.659580,0
5.982759,video,,,,,,,,0.077847,107.851228,0
5.999424,video,,,,,,,,0.470914,106.975521,0
